x,y
-10.0,-21.286466139530685
-9.797979797979798,-22.94848442901242
-9.595959595959595,-21.84278775205712
-9.393939393939394,-20.592957167338138
-9.191919191919192,-24.60190510586991
-8.98989898989899,-25.04952459158887
-8.787878787878787,-21.784798408804672
-8.585858585858587,-23.649384047624874
-8.383838383838384,-26.212942128374777
-8.181818181818182,-24.103131270290298
-7.979797979797979,-25.836808129781488
-7.777777777777778,-25.36139340630433
-7.575757575757576,-23.26319296639599
-7.373737373737374,-26.695314433804423
-7.171717171717171,-25.259862835736897
-6.96969696969697,-21.718032224968898
-6.767676767676768,-21.27364619498903
-6.565656565656566,-17.179295842338654
-6.363636363636363,-18.12696055848474
-6.161616161616162,-17.622298204025153
-5.959595959595959,-10.377834047093696
-5.757575757575758,-12.33679014794291
-5.555555555555555,-10.42832490461893
-5.353535353535354,-12.22628164542045
-5.151515151515151,-9.44193574808756
-4.94949494949495,-7.291783069523474
-4.747474747474747,-9.173751235469295
-4.545454545454546,-5.681746454490372
-4.343434343434343,-7.3963389607643
-4.141414141414142,-6.730050248817555
-3.9393939393939394,-7.4727855767976905
-3.737373737373738,-2.8331007903404584
-3.5353535353535355,-6.947057328829146
-3.333333333333333,-9.495915376867707
-3.1313131313131315,-6.2345897102791215
-2.929292929292929,-10.818462363560332
-2.7272727272727275,-8.413292081519788
-2.525252525252525,-13.12273448642373
-2.3232323232323235,-12.114584055759902
-2.121212121212121,-9.170843420990431
-1.9191919191919187,-8.020654895139632
-1.717171717171718,-8.896723913121054
-1.5151515151515156,-9.011436487157217
-1.3131313131313131,-8.719973787553359
-1.1111111111111107,-10.21578276366241
-0.9090909090909101,-7.657143003737983
-0.7070707070707076,-5.937001877124879
-0.5050505050505052,-1.5676400123781051
-0.30303030303030276,-1.5624082006770386
-0.10101010101010033,-4.2827976645412384
0.10101010101010033,1.4048852926053605
0.30303030303030276,1.4794802189813283
0.5050505050505052,2.328040464204019
0.7070707070707076,6.23907691288704
0.9090909090909083,8.279453631940457
1.1111111111111107,9.121299021159954
1.3131313131313131,6.439331349929504
1.5151515151515156,8.161715170678308
1.7171717171717162,9.90198733830812
1.9191919191919187,11.448678309375172
2.121212121212121,8.6062174170381
2.3232323232323235,9.086894004635406
2.525252525252524,6.990724290652123
2.7272727272727266,6.43860602336796
2.929292929292929,10.001826708406684
3.1313131313131315,10.592159591627146
3.333333333333334,7.236473275795238
3.5353535353535346,8.927128675137329
3.737373737373737,7.260929209453604
3.9393939393939394,4.979132843128648
4.141414141414142,6.86945396024783
4.3434343434343425,9.271134713858629
4.545454545454545,6.361490412961813
4.747474747474747,10.001051392252702
4.94949494949495,2.2741380407637175
5.1515151515151505,9.996975307787638
5.353535353535353,9.550879409469873
5.555555555555555,9.965366613063043
5.757575757575758,12.068759100040843
5.9595959595959584,9.333993755735012
6.161616161616163,14.358347025679553
6.363636363636363,17.02513755046581
6.565656565656564,20.763578597012224
6.767676767676768,18.21144351777289
6.969696969696969,18.976469960700573
7.171717171717173,20.80651308354177
7.373737373737374,24.699558179892975
7.575757575757574,24.404619728847422
7.777777777777779,23.370413491629744
7.979797979797979,25.936507610383273
8.18181818181818,25.382406456158304
8.383838383838384,27.211283337570652
8.585858585858585,23.780147318175985
8.787878787878789,24.287899746623914
8.98989898989899,23.797034371426193
9.19191919191919,21.206568460159005
9.393939393939394,24.23125743428334
9.595959595959595,23.660275372618287
9.7979797979798,22.682182739954968
10.0,21.810720178802857
